Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,35530000
Albania,ALB,"Population, total",SP.POP.TOTL,2879000
Algeria,DZA,"Population, total",SP.POP.TOTL,41318000
American Samoa,ASM,"Population, total",SP.POP.TOTL,56000
Andorra,AND,"Population, total",SP.POP.TOTL,77000
Angola,AGO,"Population, total",SP.POP.TOTL,29784000
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,102000
Arab World,ARB,"Population, total",SP.POP.TOTL,414481000
Argentina,ARG,"Population, total",SP.POP.TOTL,44271000
Armenia,ARM,"Population, total",SP.POP.TOTL,2930000
Aruba,ABW,"Population, total",SP.POP.TOTL,105000
Australia,AUS,"Population, total",SP.POP.TOTL,24446000
Austria,AUT,"Population, total",SP.POP.TOTL,8770000
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9868000
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,395000
Bahrain,BHR,"Population, total",SP.POP.TOTL,1493000
Bangladesh,BGD,"Population, total",SP.POP.TOTL,164670000
Barbados,BRB,"Population, total",SP.POP.TOTL,286000
Belarus,BLR,"Population, total",SP.POP.TOTL,9480000
Belgium,BEL,"Population, total",SP.POP.TOTL,11416000
Belize,BLZ,"Population, total",SP.POP.TOTL,375000
Benin,BEN,"Population, total",SP.POP.TOTL,11176000
Bermuda,BMU,"Population, total",SP.POP.TOTL,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,808000
Bolivia,BOL,"Population, total",SP.POP.TOTL,11052000
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3507000
Botswana,BWA,"Population, total",SP.POP.TOTL,2292000
Brazil,BRA,"Population, total",SP.POP.TOTL,209288000
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,31000
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,429000
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7075000
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,19193000
Burundi,BDI,"Population, total",SP.POP.TOTL,10864000
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,546000
Cambodia,KHM,"Population, total",SP.POP.TOTL,16005000
Cameroon,CMR,"Population, total",SP.POP.TOTL,24054000
Canada,CAN,"Population, total",SP.POP.TOTL,36613000
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7284000
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,62000
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4659000
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102696000
Chad,TCD,"Population, total",SP.POP.TOTL,14900000
Channel Islands,CHI,"Population, total",SP.POP.TOTL,165000
Chile,CHL,"Population, total",SP.POP.TOTL,18055000
China,CHN,"Population, total",SP.POP.TOTL,1383981000
Colombia,COL,"Population, total",SP.POP.TOTL,49066000
Comoros,COM,"Population, total",SP.POP.TOTL,814000
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,81340000
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5261000
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4906000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,24295000
Croatia,HRV,"Population, total",SP.POP.TOTL,4155000
Cuba,CUB,"Population, total",SP.POP.TOTL,11485000
Curacao,CUW,"Population, total",SP.POP.TOTL,161000
Cyprus,CYP,"Population, total",SP.POP.TOTL,1180000
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10571000
Denmark,DNK,"Population, total",SP.POP.TOTL,5751000
Djibouti,DJI,"Population, total",SP.POP.TOTL,957000
Dominica,DMA,"Population, total",SP.POP.TOTL,74000
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10767000
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3213167000
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2309732000
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2064004000
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2038479000
Ecuador,ECU,"Population, total",SP.POP.TOTL,16625000
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,97553000
El Salvador,SLV,"Population, total",SP.POP.TOTL,6378000
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1268000
Eritrea,ERI,"Population, total",SP.POP.TOTL,..
Estonia,EST,"Population, total",SP.POP.TOTL,1313000
Ethiopia,ETH,"Population, total",SP.POP.TOTL,104957000
Euro area,EMU,"Population, total",SP.POP.TOTL,341175000
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,914474000
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,419152000
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,457060000
European Union,EUU,"Population, total",SP.POP.TOTL,511990000
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,49000
Fiji,FJI,"Population, total",SP.POP.TOTL,906000
Finland,FIN,"Population, total",SP.POP.TOTL,5510000
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,517571000
France,FRA,"Population, total",SP.POP.TOTL,67143000
French Polynesia,PYF,"Population, total",SP.POP.TOTL,283000
Gabon,GAB,"Population, total",SP.POP.TOTL,2025000
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2101000
Georgia,GEO,"Population, total",SP.POP.TOTL,3715000
Germany,DEU,"Population, total",SP.POP.TOTL,82581000
Ghana,GHA,"Population, total",SP.POP.TOTL,28834000
Gibraltar,GIB,"Population, total",SP.POP.TOTL,35000
Greece,GRC,"Population, total",SP.POP.TOTL,10726000
Greenland,GRL,"Population, total",SP.POP.TOTL,..
Grenada,GRD,"Population, total",SP.POP.TOTL,108000
Guam,GUM,"Population, total",SP.POP.TOTL,164000
Guatemala,GTM,"Population, total",SP.POP.TOTL,16914000
Guinea,GIN,"Population, total",SP.POP.TOTL,12717000
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1861000
Guyana,GUY,"Population, total",SP.POP.TOTL,778000
Haiti,HTI,"Population, total",SP.POP.TOTL,10981000
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,765113000
High income,HIC,"Population, total",SP.POP.TOTL,1195272000
