Date,Name,Description,Activity Types,Distance,Duration,Ascent,Descent,Calories,Feeling,RPE,Average Speed,Average Pace,Average Swim Pace,Average Heart Rate,Average Power,Maximum Power,VO2Max,Link
"1/7/2020","2020-01-07T00:09:55.000Z","","Running","8.51 Km","46m 16s","149 m","134 m","614 KCal","","","11.02 km/h","05:26 min/km","","","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSvXVNWZRYCQg2z7HQbqpwaGbctR6Mh"
"1/9/2020","2020-01-09T06:26:03.000Z","","Running","5.28 Km","25m 26s","7 m","35 m","420 KCal","","","12.44 km/h","04:49 min/km","","178 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSviBvJYp1DKAZk9V7KR3sxNZQC5idU"
"1/10/2020","2020-01-10T06:30:02.000Z","","Running","7.37 Km","38m 42s","21 m","37 m","594 KCal","","","11.42 km/h","05:15 min/km","","172 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSvtshwYFAnXWmnBPn86K12VGpm4bdX"
"1/11/2020","2020-01-11T13:56:10.000Z","","Running","5.96 Km","31m 50s","14 m","35 m","433 KCal","","","11.24 km/h","05:20 min/km","","","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSvttf1X4tMiwf8qenMzh97vLLot9PX"
"1/12/2020","2020-01-12T10:42:09.000Z","","Running","6.43 Km","34m 47s","42 m","66 m","525 KCal","","","11.09 km/h","05:24 min/km","","170 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSyQPdzqqupsQT75WWJDxkcKburZfSc"
"1/15/2020","2020-01-15T17:11:26.000Z","","Running","5.23 Km","26m 40s","14 m","21 m","389 KCal","","","11.75 km/h","05:06 min/km","","167 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCFnsQrNMR2Xh8nBpgztnoN6NF5eMT"
"1/18/2020","2020-01-18T10:08:24.000Z","","Running","3.07 Km","10m 40s","0 m","0 m","156 KCal","","","17.28 km/h","03:28 min/km","","152 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCFnsn3dtEBSRRandUhv7PTpFDTCdt"
"1/18/2020","2020-01-18T10:22:52.000Z","","Running","7.94 Km","41m 44s","14 m","28 m","740 KCal","Average ","","11.42 km/h","05:15 min/km","","172 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCFnsn8WDUgPD9pUZGb2uDJZjD8xuP"
"1/21/2020","2020-01-21T19:39:56.000Z","","Running","7.59 Km","38m 08s","0 m","0 m","681 KCal","Average ","","11.94 km/h","05:01 min/km","","181 bpm","","","55.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCW9AJQgBhAKHvgxSufJWNW6Cu8xtd"
"1/23/2020","2020-01-23T19:09:10.000Z","","Running","9.82 Km","53m 58s","64 m","50 m","821 KCal","Very Good ","","10.91 km/h","05:29 min/km","","167 bpm","","","54.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCdwozuQSPkSrz6Pr29hbMaMfvq5Hb"
