proper_name,mnis_id,house_start_date,house_end_date,date_of_birth,gender,party,dods_id,pims_id
Adam Afriyie,1586,2005-05-05,,1965-08-04,M,Conservative,35516,4734
Adam Butler,1093,1970-06-18,1987-06-11,1931-10-11,M,Conservative,0,0
Adam Holloway,1522,2005-05-05,,1965-07-29,M,Conservative,35356,4766
Adam Ingram,593,1987-06-11,2010-05-06,1947-02-01,M,Labour,25519,1119
Adam Price,1401,2001-06-07,2010-05-06,1968-09-23,M,Plaid Cymru,25332,239
Adrian Bailey,320,2000-11-23,,1945-12-11,M,Labour (Co-op),25800,3848
Adrian Flook,1459,2001-06-07,2005-05-05,1963-07-09,M,Conservative,0,3262
Adrian Sanders,237,1997-05-01,2015-03-30,1959-04-25,M,Liberal Democrat,25377,546
Afzal Khan,4671,2017-06-07,,1958-04-05,M,Labour,107134,6234
Aidan Burley,3937,2010-05-06,2015-03-30,1979-01-22,M,Conservative,72840,5528
Alan Amos,1212,1987-06-11,1992-04-09,1952-11-10,M,Conservative,0,0
Alan Beith,513,1973-11-08,2015-05-07,1943-04-20,M,Liberal Democrat,25716,3936
Alan Brown,4470,2015-05-07,,1970-08-12,M,Scottish National Party,122026,6027
Alan Campbell,529,1997-05-01,,1957-07-08,M,Labour,25786,2445
Alan Clark,673,1974-02-28,1999-09-04,1928-04-13,M,Conservative,0,2615
Alan Duncan,343,1992-04-09,,1957-03-31,M,Conservative,25590,3040
Alan Fitch,827,1958-06-12,1983-06-09,1915-03-10,M,Labour,0,0
Alan Glyn,981,1959-10-08,1992-04-09,1918-09-26,M,Conservative,0,0
Alan Haselhurst,43,1970-06-18,,1937-06-23,M,Conservative,25174,874
Alan Howarth,544,1983-06-09,2005-05-05,1944-06-11,M,Labour,25503,4870
Alan Hurst,32,1997-05-01,2005-05-05,1945-09-02,M,Labour,0,1088
Alan J Williams,569,1964-10-15,2010-05-06,1930-10-14,M,Labour,25242,4615
Alan Johnson,376,1997-05-01,,1950-05-17,M,Labour,25517,1188
Alan Keen,169,1992-04-09,2011-11-10,1937-11-25,M,Labour (Co-op),25460,1253
Alan Mak,4484,2015-05-07,,1983-11-19,M,Conservative,136491,6108
Alan Meale,361,1987-06-11,,1949-07-31,M,Labour,25454,1859
Alan Milburn,507,1992-04-09,2010-05-06,1958-01-27,M,Labour,25449,1904
Alan Reid,1385,2001-06-07,2015-03-30,1954-08-07,M,Liberal Democrat,25342,339
Alan Simpson,365,1992-04-09,2010-05-06,1948-09-20,M,Labour,25304,706
Alan W Williams,536,1987-06-11,2001-06-07,1945-12-21,M,Labour,0,4616
Alan Whitehead,62,1997-05-01,,1950-09-15,M,Labour,25238,4585
Alasdair McDonnell,1596,2005-05-05,,1949-09-01,M,Social Democratic & Labour Party,33617,1798
Alasdair Morgan,604,1997-05-01,2001-06-07,1945-04-21,M,Scottish National Party,0,1979
Alastair Goodlad,670,1974-02-28,1999-06-28,1943-07-04,M,Conservative,36493,4905
Albert Booth,982,1966-03-31,1983-06-09,1928-05-28,M,Labour,0,0
Albert Costain,789,1959-10-08,1983-06-09,1910-07-05,M,Conservative,0,0
Albert McQuarrie,1349,1979-05-03,1987-06-11,1918-01-01,M,Conservative,0,0
Albert Owen,1474,2001-06-07,,1959-08-10,M,Labour,25395,2226
Albert Roberts,1346,1951-10-25,1983-06-09,1908-05-14,M,Labour,0,0
Albert Stallard,948,1970-06-18,1983-06-09,1921-11-05,M,Labour,0,0
Alberto Costa,4439,2015-05-07,,1971-11-13,M,Conservative,72255,6039
Alec Jones,1071,1967-03-09,1983-03-20,1924-08-12,M,Labour,0,0
Alec Shelbrooke,3997,2010-05-06,,1976-01-10,M,Conservative,35500,5639
Alec Woodall,966,1974-02-28,1987-06-11,1918-09-20,M,Labour,0,0
Alex Burghart,4613,2017-06-07,,,M,Conservative,137715,6203
Alex Carlile,1138,1983-06-09,1997-05-01,1948-02-12,M,Liberal Democrat,26889,2470
Alex Chalk,4481,2015-05-07,,1976-08-08,M,Conservative,105925,6033
Alex Cunningham,4122,2010-05-06,,1955-05-01,M,Labour,72257,5668
Alex Eadie,811,1966-03-31,1992-04-09,1920-06-23,M,Labour,0,0
Alex Fletcher,983,1973-11-08,1987-06-11,1929-08-26,M,Conservative,0,0
Alex Norris,4641,2017-06-07,,,M,Labour (Co-op),113121,6251
Alex Pollock,1224,1948-11-25,1982-01-02,1917-03-10,M,Conservative,0,0
Alex Salmond,577,1987-06-11,,1954-12-31,M,Scottish National Party,25366,536
Alex Sobel,4658,2017-06-07,,,M,Labour (Co-op),35855,6269
Alexander W Lyon,1372,1966-03-31,1983-06-09,1931-10-15,M,Labour,0,0
Alf Bates,1616,1974-02-28,1979-05-03,1944-06-08,M,Labour,0,0
Alf Dubs,805,1979-05-03,1987-06-11,1932-12-05,M,Labour,26587,3031
Alfred Morris,1906,1964-10-15,1997-05-01,1928-03-23,M,Labour,27036,1993
Alice Mahon,409,1987-06-11,2005-05-05,1937-09-28,F,Labour,0,1648
Alick Buchanan-Smith,727,1964-10-15,1991-08-29,1932-04-08,M,Conservative,0,0
Alison McGovern,4083,2010-05-06,,1980-12-30,F,Labour,84353,5702
Alison Seabeck,1552,2005-05-05,2015-03-30,1954-01-20,F,Labour,40799,4844
Alison Thewliss,4430,2015-05-07,,1982-09-13,F,Scottish National Party,121936,6166
Alistair Burt,1201,1983-06-09,,1955-05-25,M,Conservative,25162,2385
Alistair Carmichael,1442,2001-06-07,,1965-07-15,M,Liberal Democrat,24991,2481
Alistair Darling,596,1987-06-11,2015-03-30,1953-11-28,M,Labour,25690,2841
Alister Jack,4619,2017-06-07,,1963-07-14,M,Conservative,148300,6228
Allan Roberts,715,1979-05-03,1990-03-21,1943-10-28,M,Labour,0,0
Allan Rogers,557,1983-06-09,2001-06-07,1932-10-24,M,Labour,0,436
Allan Stewart,1239,1979-05-03,1997-05-01,1942-06-01,M,Conservative,0,0
Allen Adams,663,1979-05-03,1990-09-05,1946-02-16,M,Labour,0,3585
Allen McKay,918,1978-07-13,1992-04-09,1927-02-05,M,Labour,0,0
Alok Sharma,4014,2010-05-06,,1967-09-07,M,Conservative,62774,5638
Alun Cairns,4086,2010-05-06,,1970-07-30,M,Conservative,33463,2422
Alun Michael,562,1987-06-11,2012-10-22,1943-08-22,M,Labour (Co-op),25508,1894
Amanda Milling,4454,2015-05-07,,1975-03-12,F,Conservative,126839,6123
Amanda Solloway,4372,2015-05-07,,1961-06-06,F,Conservative,106238,6160
Amber Rudd,3983,2010-05-06,,1963-08-01,F,Conservative,41303,5633
Anas Sarwar,3981,2010-05-06,2015-03-30,1983-03-14,M,Labour,58360,5637
Andrea Jenkyns,4490,2015-05-07,,1974-06-16,F,Conservative,106020,6092
Andrea Leadsom,4117,2010-05-06,,1963-05-13,F,Conservative,40456,5676
Andrew Bennett,443,1974-02-28,2005-05-05,1939-03-09,M,Labour,0,3956
Andrew Bingham,3994,2010-05-06,2017-05-02,1962-06-23,M,Conservative,35370,5578
Andrew Bowden,752,1970-06-18,1997-05-01,1930-04-08,M,Conservative,0,0
Andrew Bowie,4601,2017-06-07,,,M,Conservative,148003,6200
Andrew Bridgen,4133,2010-05-06,,1964-10-28,M,Conservative,62823,5593
Andrew Dismore,179,1997-05-01,2010-05-06,1954-09-02,M,Labour,25638,2975
Andrew Faulds,822,1966-03-31,1997-05-01,1923-03-01,M,Labour,0,0
