ministry,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,jockers_rinker_sentiment_avg,jockers_rinker_sd_avg,jockers_rinker_sentiment_wtd,jockers_rinker_sd_wtd,senticnet_sentiment_avg,senticnet_sd_avg,senticnet_sentiment_wtd,senticnet_sd_wtd,tot_speeches,tot_words,avg_speech_length
Blair1,0.1436096202702055,0.4079765222155325,0.17487445672296503,0.4928978144237267,0.12740202767860326,0.2371936949292363,0.12023543947454048,0.2549113805845715,0.15828945702782218,0.308052191177145,0.17043276340185076,0.3353727735494312,0.057455223623285125,0.25378037815245214,0.055071942034928635,0.29181915880559245,0.2195150985739522,0.23447683420429724,0.2276517742085081,0.2276517742085081,0.11444485311116252,0.25161275132149846,0.10309330680878113,0.10309330680878113,0.22564220828720297,0.30794641413679297,0.23942686604691257,0.23942686604691257,228181,42134113,184.65215333441435
Blair2,0.1507178862532971,0.4302575434252195,0.1732057960972994,0.5040445349170187,0.13370078355992157,0.24335026657472966,0.1278121200898812,0.25910077933307557,0.17242365483171257,0.3148176144148486,0.18079565017014576,0.3399099313747352,0.05722017626642406,0.2614451200686073,0.05411853554584657,0.2939542593809143,0.2380748382861919,0.24367228100056595,0.2486360996631575,0.2486360996631575,0.11951310618927982,0.25797452377238506,0.10999445097020139,0.10999445097020139,0.24176795229650735,0.3163473130163841,0.25948218434571785,0.25948218434571785,193531,35461290,183.23312544243558
Blair3,0.16057163906231553,0.43797081911305435,0.1845081459207596,0.5076111718249854,0.13506874821526582,0.24345682535585905,0.13110825518935887,0.2592505609849513,0.17385351528092077,0.314486964464105,0.18362425858516873,0.3382933787358697,0.06105568312367854,0.26099168570787085,0.05974604181543599,0.29333834006228965,0.24278421129585212,0.24580858106448944,0.25489346315662215,0.25489346315662215,0.12090251859367289,0.2577744690812505,0.11336903348971192,0.11336903348971192,0.2473145267964593,0.3187521776249563,0.26331638536991286,0.26331638536991286,110829,19531118,176.22750363172094
Brown,0.1604455417636395,0.43962139220287655,0.185406024483158,0.5089942457268097,0.13574576699595606,0.24311926723922758,0.13346038256449233,0.258637881721781,0.17421153709527054,0.3119495201169338,0.18492266971718085,0.33709551932664933,0.0633971259800955,0.2627957956875972,0.0625670129493143,0.29407196987634104,0.24711662308276344,0.24731755960277194,0.26053177520147786,0.26053177520147786,0.12098055552353151,0.25759184652402295,0.11442829887007737,0.11442829887007737,0.25080000702699895,0.3200787082920603,0.2688822184438949,0.2688822184438949,147491,25870806,175.40599765409414
Cameron1,0.18060096255777863,0.4572823460462045,0.19531164067973927,0.5257779941124922,0.14437084349626397,0.24442690482285,0.13782761093988968,0.2615312338977885,0.18036663550141463,0.3168811012956907,0.18504902078205226,0.3410755904667505,0.08091570319037696,0.2660386640274502,0.07666011589677611,0.2978386148453118,0.2605614615041253,0.24748812269274484,0.268694983493066,0.268694983493066,0.1324751777282929,0.2575577239426424,0.12167845115301433,0.12167845115301433,0.26174113548529576,0.32070659233749144,0.2765334080792991,0.2765334080792991,323953,48728431,150.41821190110912
Cameron2,0.2018739049912037,0.4698378356703917,0.22058401605363073,0.5383750093005633,0.14889161776389495,0.24710588706038805,0.14616239852661037,0.2637058912666741,0.18462689715740438,0.3183190189862327,0.19403337199031895,0.3436919430243121,0.08943415506556629,0.2694062111010394,0.08962950613904806,0.3005463693449932,0.27145169240904693,0.25425703823126394,0.28470935659558483,0.28470935659558483,0.13643757348445654,0.25974995972800236,0.13018845891225536,0.13018845891225536,0.2674280315757316,0.32539335839472544,0.2893727602772148,0.2893727602772148,78325,12055950,153.92211937440152
Major1,0.12055523002732828,0.3985142880253822,0.138575619208494,0.4807859192144814,0.1189483972296213,0.2340483781658954,0.1055093692942207,0.25004977002007744,0.155841316003052,0.30645329435096796,0.1547881722029472,0.3320824010572331,0.044944219645408436,0.2461311475401511,0.03477416758853783,0.2840384519492087,0.19960985698115452,0.22366710039302273,0.20418094762526393,0.20418094762526393,0.10841577204315259,0.24728283181331667,0.08980679330330485,0.08980679330330485,0.23120276892464792,0.3049272242169104,0.2280491270415035,0.2280491270415035,79611,13812069,173.49447940611222
Major2,0.13503738788677971,0.40056150672945884,0.15826287647172968,0.49224948646632577,0.12397010712960918,0.23284234906021342,0.11320343704179807,0.25187705406028843,0.1625095023388765,0.3047018708013884,0.16805741452830852,0.33396098646510486,0.05181775983405971,0.2429648552755561,0.04514384455487432,0.28585305680287404,0.20864224254086394,0.22699863382290816,0.2149103361908033,0.2149103361908033,0.1137190934929742,0.24585481655872143,0.09802249013832114,0.09802249013832114,0.2348978436560203,0.31029724401992503,0.23423956304507584,0.23423956304507584,261883,48822410,186.4283286811286
May1,0.2171460043486022,0.47072858061619827,0.22120708788017043,0.5409330206073943,0.1628115415866123,0.24711241329346098,0.15226245469913402,0.2670435523236123,0.19122601039032117,0.31557827833488583,0.19573647560310814,0.34303022270828504,0.10101704887309096,0.2691724627224922,0.09241452982811116,0.30227476072141396,0.2840310619190787,0.2567570205565545,0.2912047096439609,0.2912047096439609,0.1516738320645973,0.2593132963856266,0.13790637952627824,0.13790637952627824,0.27843021291287817,0.32468412061536356,0.29293925034105617,0.29293925034105617,50450,7588608,150.41839444995045
May2,0.19102286283876183,0.45258441709829006,0.19328879078831526,0.5210960550190155,0.15262046602846463,0.242327127281245,0.14138159956694993,0.2589196975519242,0.18569663973346542,0.3143091673696292,0.18594120600394917,0.3364601436863739,0.09014979780807661,0.2633050860269423,0.08280010518522617,0.2933999029677005,0.27271186934748265,0.24823892367103575,0.2772612435614167,0.2772612435614167,0.14016292747403666,0.25526067134049474,0.12523082771377947,0.12523082771377947,0.26720282832550524,0.31856454004081064,0.2776037651978176,0.2776037651978176,36084,5157298,142.92478660902339
