party,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,jockers_rinker_sentiment_avg,jockers_rinker_sd_avg,jockers_rinker_sentiment_wtd,jockers_rinker_sd_wtd,senticnet_sentiment_avg,senticnet_sd_avg,senticnet_sentiment_wtd,senticnet_sd_wtd,tot_speeches,tot_words,avg_speech_length
Alliance,0.1583879608214196,0.46014035654653246,0.1978121386419449,0.570008429837353,0.12387836169509428,0.23712903489132497,0.12140406141323931,0.271417810409774,0.15868217064381768,0.32942879564422184,0.19306896026734247,0.36956123179425676,0.05044035358336651,0.2875682548689781,0.040072130386132665,0.3273810131479499,0.2605961908412544,0.24876219092821758,0.2794674209235857,0.2794674209235857,0.10160080076156972,0.25044130105718854,0.09262186679376756,0.09262186679376756,0.2860779359118153,0.32505890833219897,0.29441610265077883,0.29441610265077883,384,81090,211.171875
Conservative,0.17498154481010553,0.41722617830839515,0.20146957604080187,0.49332419165716607,0.1490560398310356,0.24026892641387357,0.13979618075842823,0.2562830785237615,0.184720074434352,0.3115877708623119,0.19210269108688396,0.33654811715262795,0.07718054317872403,0.25392017507008335,0.07379850827744283,0.2897116687417361,0.23336606675254537,0.23487069306216887,0.24134044922588418,0.24134044922588418,0.13883039900135688,0.2528824229747579,0.12529951182436305,0.12529951182436305,0.2441371544408071,0.3122993431524215,0.253327467789478,0.253327467789478,1087552,176258681,162.06919853027716
Democratic Unionist,0.06090587748531014,0.3818737866268152,0.06741109663900416,0.46054073025886744,0.0633569849807892,0.20666849365503048,0.04374157298254854,0.21896167364771246,0.10797913204095119,0.2782398165358081,0.1034617150793333,0.2987556428224444,0.011060690379283197,0.22481037717502173,-0.009827791531253306,0.2546449856736028,0.15423056247934086,0.20181535472480586,0.14627831718627185,0.14627831718627185,0.05199695639246862,0.2196079042582434,0.027899055004503546,0.027899055004503546,0.18661760876119218,0.29249481631101903,0.17967678939455423,0.17967678939455423,2461,660279,268.2970337261276
Democratic Unionist Party,0.13906076061170675,0.44112169088680897,0.14490296062608288,0.5140881595180948,0.10446033717393799,0.2331296984330081,0.08779410709827831,0.2487216038817466,0.14582264235607503,0.30297676392323136,0.14050624459547348,0.32638270038472517,0.030222721920951764,0.25194202291414863,0.024264631545820474,0.28782629097038953,0.21921296838907844,0.22839824274900816,0.21061093977175757,0.21061093977175757,0.08974552803231649,0.24421898308952095,0.06866767336374467,0.06866767336374467,0.24094187623874705,0.305804924365985,0.23760588240380678,0.23760588240380678,8787,1702830,193.78968931375897
DUP,0.09077182946780854,0.4510911393932187,0.07350969057976982,0.5463294698524814,0.08714805574200818,0.23279715508354146,0.07299961339492378,0.2620152572001968,0.15275743289033478,0.2981637974132925,0.14774540829675623,0.3312437203715469,0.02629469913298795,0.25824783936831497,0.019437407282997095,0.30099469541126217,0.2341499094826273,0.23693167121485723,0.22980190462483382,0.22980190462483382,0.07412548920479096,0.24554748537101376,0.05717819969569335,0.05717819969569335,0.23650619215791924,0.3011370563785698,0.22916511147439333,0.22916511147439333,670,144264,215.31940298507462
Green Party,0.09772576346153888,0.5057846457935483,0.10241929260123515,0.5744293157723086,0.09056031733373314,0.2581143207390598,0.08610422114291172,0.2701348107593193,0.12171337987409919,0.33321266794987814,0.13294482126455734,0.3555676061494637,0.012937086952463636,0.29777014406669355,0.01059982385562583,0.32338175610829656,0.2317952364257263,0.26138066948351724,0.24567933484621,0.24567933484621,0.0787208392936198,0.27173787580700065,0.07152376738219332,0.07152376738219332,0.22873418968748205,0.33554901531017034,0.24686862465053944,0.24686862465053944,1343,262904,195.75874906924795
Independent,0.10583902783014,0.4107266941414422,0.1300937086332118,0.510503326137464,0.09918932555219874,0.22623655348080698,0.08989342228612329,0.24886785378961274,0.13643050648291838,0.2960116268662633,0.14125468046855957,0.32956469798352245,0.029017939792709564,0.24032223867794372,0.022648353698210805,0.2836847825485372,0.20381569831174878,0.22762474701859872,0.2080118796562486,0.2080118796562486,0.08828334950164989,0.2381880349114012,0.07460712859663256,0.07460712859663256,0.23336118524909957,0.30679712545357063,0.23196944058226013,0.23196944058226013,10739,1840602,171.39417077940217
Independent 'One Nation Conservative',0.19931228108352034,0.44480685750911897,0.2556642832733375,0.5167718049314337,0.16921130528147033,0.2409139027340652,0.13593456783922314,0.25209481543657736,0.21999324888706062,0.3223522434163901,0.202815011145877,0.33990502319622773,0.11560600752560055,0.3029490270909092,0.08148383306925952,0.3075553897412252,0.2560796012583984,0.24330993036285956,0.23194003362044413,0.23194003362044413,0.16363380823371862,0.2535027372790115,0.12067643423504938,0.12067643423504938,0.28255853883370624,0.3021487292412994,0.22318669178125447,0.22318669178125447,316,101611,321.55379746835445
Independent Conservative,0.10651908681264628,0.3739177313891492,0.1465511384060209,0.47098571575701575,0.13517875633850773,0.2373311302325444,0.1168424839335296,0.2501943357915868,0.16200532333532663,0.31686977482668277,0.1657479579098035,0.33544250435295925,0.061095859353025514,0.2582365102607485,0.04727128907757771,0.2919191036308445,0.20892885095971256,0.22492071565355454,0.20314266757833832,0.20314266757833832,0.12542418129429672,0.2505485447524655,0.09983720700708751,0.09983720700708751,0.23431517061934465,0.3049079653810448,0.22257815981741835,0.22257815981741835,9398,1380396,146.88188976377953
Independent Labour,0.0973980995891244,0.339755292863607,0.11163260928011323,0.4148870252348178,0.09112887833975877,0.2014795212439906,0.07520645312819516,0.2163246367948378,0.12351092527354136,0.2833006849235007,0.13111043644792272,0.3112906039944515,0.026526569064950427,0.23204812780068007,0.0038810476877429445,0.2602210660046221,0.169673847087108,0.20376270705290758,0.1671438160165369,0.1671438160165369,0.07822994122968525,0.22108397597719834,0.05283802030144506,0.05283802030144506,0.1780809041823849,0.2999430844013277,0.18311255683896893,0.18311255683896893,513,144001,280.7037037037037
