party,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Alliance,0.20506911953417215,0.6066604344527065,0.2629043020996591,0.8508813186344645,0.12954801712287586,0.25130850974333274,0.13177493541604102,0.29856592801583,0.17147544202300288,0.36925002253995076,0.22141744082518594,0.4492739141236801,0.04898294454930479,0.35884706543986916,0.04611350322218179,0.4645628198632708,0.26075578516193404,0.24547192227817727,0.2851773496888718,0.2851773496888718,398,83580,210
Conservative,0.20601202732764295,0.5306263911087242,0.2673892296375892,0.7321794530870844,0.15077029019024263,0.2514978550830654,0.14403019370722428,0.27695956725374243,0.19791629964147595,0.34754317603890317,0.2137260067246476,0.3980528292827409,0.08580147020300892,0.3124121343655932,0.08849829451229066,0.39851007669476723,0.23225983399981942,0.23846722083508068,0.24292751366960474,0.24292751366960474,1088849,180912955,166.150637048847
Democratic Unionist,0.06986740071109208,0.4677324120755208,0.07984451268696588,0.5917602537457775,0.06557536780301206,0.21854098751279813,0.046055790028213986,0.24067463077264134,0.11709461733711504,0.307931690659021,0.11773985257092258,0.34458877341941085,0.013244240618029047,0.271640150299373,-0.008542929788720089,0.324738197816579,0.15641634864889703,0.20420475545109285,0.14973834122989152,0.14973834122989152,2488,674226,270.9911575562701
Democratic Unionist Party,0.165441560919586,0.575022380304471,0.18715440555815038,0.7526917087902559,0.10425645009742075,0.2481861002738492,0.08927532584052125,0.27345824813640124,0.15859968671902536,0.34663980134178385,0.15918241921983728,0.39636394771928696,0.03687603962859901,0.3273850043133867,0.03188700246748611,0.4126298560547193,0.22016035480911106,0.2358310379506255,0.2129290430272407,0.2129290430272407,9644,1984050,205.72895064288676
Green Party,0.13988077214771352,0.68932083495897,0.16191942095921485,0.9101217445008415,0.0929654769481205,0.2745856149342938,0.09246069489926889,0.30262756936795787,0.1437314433116188,0.39217367055492885,0.1662216130812793,0.456422590632181,0.0061773783905641755,0.4237983025040318,0.005094927863162448,0.5426991856103051,0.2352562220815656,0.26893337067310497,0.2540586476585302,0.2540586476585302,1276,250015,195.93652037617554
Independent,0.14034131579036527,0.5451489091723768,0.17091944456419986,0.7464804276503622,0.10712075029061656,0.24439875746529557,0.10031547209165573,0.2793466606615695,0.1597840150731455,0.3400681527499625,0.17396354290152943,0.40670111230015593,0.04565496506041919,0.30956608229249777,0.05843387514421789,0.40438566238269,0.21074011275813334,0.23609440176340768,0.21807758005897734,0.21807758005897734,11798,2038362,172.77182573317512
Independent 'One Nation Conservative',0.22319421080810975,0.5598024325513264,0.2956543624089062,0.6752551943184506,0.1719962185797087,0.2491481982178837,0.1413317136686865,0.27103237104186256,0.24000089727982482,0.3559141769107268,0.22846038103156205,0.3917709682169116,0.1237434222577601,0.35886402947416146,0.09405700145941134,0.3954620101501496,0.25634906968005144,0.24619570210997907,0.23270320824699572,0.23270320824699572,315,100482,318.9904761904762
Independent Conservative,0.130078616513,0.4621806741796201,0.1821436231097297,0.6152849166441922,0.14049155480837586,0.24712613713935,0.12191659447206421,0.2656576086770655,0.17382459451331916,0.34546360658949493,0.18221334107407697,0.38090419031202355,0.06926048242824133,0.30167252852948456,0.0535560410399887,0.3579706465165785,0.21128931669481885,0.22602714898914203,0.204842253861578,0.204842253861578,9155,1366530,149.26597487711632
Independent Labour,0.04623222032144493,0.4770280858720259,0.09869102525445252,0.6078976373173851,0.0604859895871531,0.23247487361635646,0.052061204286304404,0.253310199792766,0.09237154883421789,0.3334299064938881,0.09703364368614512,0.3796855084964872,0.008398927794826087,0.2887040329186837,-8.842742142343093e-4,0.3550745892816675,0.15813339080410288,0.2200316632409362,0.15520966496184116,0.15520966496184116,1143,255722,223.72878390201225
Independent SDP,0.08625456954305119,0.6240012095755915,0.05221632977788939,0.7059239673828407,0.08217224995996253,0.269224672420595,0.0655385955885971,0.2962158786837881,0.14029640670034707,0.3744416107267985,0.12293707211438637,0.40254600626367437,0.003661002723523207,0.35333215638908533,-0.01954839200869948,0.38642047824518033,0.191350173688094,0.2612158148050305,0.17543803220544016,0.17543803220544016,135,60571,448.6740740740741
Independent Socialist,-0.019233694651117413,0.45052812214741167,-0.07094595201275512,0.5842919745577136,0.04264711469811095,0.23348934561510945,0.010459326623588484,0.24882978224935465,0.08819222081714001,0.3173429392853823,0.061331569478294906,0.35273325557092006,-0.05256152956649509,0.26937718140565253,-0.09499340259679896,0.31631935023503827,0.12199801275189605,0.19669548631545455,0.11253157541772318,0.11253157541772318,386,126985,328.97668393782385
