party,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,sentiword_sentiment_avg,sentiword_sd_avg,sentiword_sentiment_wtd,sentiword_sd_wtd,hu_sentiment_avg,hu_sd_avg,hu_sentiment_wtd,hu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Alliance,0.1857109409479228,0.5658954534585777,0.22870504335206074,0.7578153688257254,0.12446692031226396,0.24545257840348605,0.12273955595829415,0.2870250465288331,0.1628118745896687,0.3538249616594819,0.20322764270600358,0.41548473830496324,0.04552574309556372,0.1421946896398669,0.03958493207561537,0.16629836674818466,0.05338823872521712,0.3401564372448152,0.05029461014570814,0.41417666307467016,0.2551057277142883,0.21531448116735685,0.2747176995782438,0.2747176995782438,398,84227,211.62562814070353
Conservative,0.1981807862317516,0.5088669807782408,0.23533372067160996,0.6500176637361127,0.14808696445257083,0.24964198733117623,0.1386000576252153,0.272095283412146,0.18869739950482733,0.3417641514196419,0.1996983496646598,0.3847584000739454,0.033264668222004225,0.1389309089022841,0.02739902189476327,0.1560793434920018,0.08225172830872274,0.30289323995996953,0.0795522901090226,0.36838477739216663,0.2276016740952202,0.2288934285925587,0.24824158590045464,0.24824158590045464,1099617,184867364,168.11977624936682
Democratic Unionist,0.06720846686870637,0.458247234620896,0.07658916812906334,0.5776056646705781,0.06542234732046712,0.21648824384540696,0.045316200012480524,0.23693808808246514,0.11325428686947502,0.30358382664160893,0.1125065995548908,0.33803063175665105,0.01802167991437071,0.13683480300198292,0.009400546230695337,0.15244309140595952,0.011809392671620188,0.26630786378694643,-0.010383050128569618,0.3141037227423438,0.15902736966624847,0.198597095543882,0.15492230109219865,0.15492230109219865,2498,682705,273.3006405124099
Democratic Unionist Party,0.15767605417802694,0.5371016288800406,0.16839745334982179,0.6653147665709265,0.10261253288280725,0.24619661180089786,0.08584361584068682,0.26784504132660397,0.15285746146641757,0.33876934846710893,0.15018948579942668,0.3795979671283967,0.024499634032334978,0.1384468716374926,0.016435458063896922,0.1565041857683778,0.03497156366281942,0.31027118746747034,0.02724221654158774,0.3707128577360985,0.22757459966112106,0.22781889180928877,0.2283900691631073,0.2283900691631073,9706,2018584,207.97280032969297
Green Party,0.11881546468432569,0.6284344992934794,0.12372391507588722,0.771462514001011,0.08981933767862298,0.27234995567208825,0.08401945292729292,0.29594869921352307,0.1340692036426489,0.37632857117944385,0.14395806269165837,0.42271199090602074,0.033471403551976316,0.15646624681752203,0.029287509843718744,0.17218280809703648,0.013955361202162649,0.36916534618562313,0.012663733847969955,0.43742400239405865,0.22911582657875298,0.26437231360344127,0.22933759376464352,0.22933759376464352,1290,256204,198.6077519379845
Independent,0.12983659068629808,0.5227659124463574,0.15082757360131552,0.6730763407013597,0.10303153255021633,0.2406210077288617,0.09128708504792019,0.26849060804310526,0.14815898526655036,0.33131559459469795,0.1520339143094688,0.38282229953153385,0.028097211892676895,0.13766473864397324,0.019037914247318044,0.1570036809953597,0.03469224285229409,0.2944385665897126,0.026094071302397284,0.36250178709150876,0.2097727181907476,0.22903053150761132,0.22590573860489263,0.22590573860489263,11940,2096685,175.60175879396985
Independent 'One Nation Conservative',0.2186700717700582,0.5546382243534813,0.29290168814392453,0.6760811385613765,0.16940255606044566,0.24998091969698086,0.13953407600551526,0.27022874045855355,0.2297763362391929,0.35608076594933186,0.22264674844576035,0.3903105679804404,0.051296796545423066,0.13408664903455297,0.0253453481869022,0.15719491960421064,0.12242125055784729,0.3545740077105924,0.09234961280529946,0.3947805129284753,0.2769036229340637,0.21467033234566843,0.27147490770268673,0.27147490770268673,316,102234,323.5253164556962
Independent Conservative,0.12410415989612648,0.4558338183828549,0.1776226949202708,0.6108399111059113,0.1377487486249835,0.2464810339728326,0.12000509869215273,0.26472884414142855,0.16544323870117394,0.3432580979481739,0.17455777559027644,0.3801244069743543,0.02833249724535878,0.12756058790650784,0.019410374709503787,0.14990528637487624,0.06723233485596307,0.2994228581813833,0.051584399070902634,0.35660478157688946,0.21436534297894258,0.2238656786177826,0.22887930868745696,0.22887930868745696,9398,1392772,148.1987656948287
Independent Labour,0.042745059020936706,0.4759752237798474,0.09576296001514946,0.6066082002226117,0.05858968244319624,0.23241417259062694,0.05089753440250365,0.2526055948151832,0.08629037537044872,0.32868700077181756,0.0923846963979748,0.3765284712157749,0.013289945022896132,0.13835145619412287,0.012560020772861544,0.1571858237990256,0.007690618855182664,0.28706934920951815,-0.0015011866238146697,0.3528602009590547,0.17088617586900312,0.22152463898148353,0.16605619659176074,0.16605619659176074,1163,260580,224.0584694754944
Independent SDP,0.08445429439005245,0.6217010031956076,0.05061414201021821,0.7040652998346657,0.08107696485544301,0.2683970811505636,0.06517361828826224,0.2962716718446575,0.13747945445657184,0.37321548993973014,0.11888644086872723,0.40202774846172423,0.03677078197506177,0.1786665956259573,0.020878511247311833,0.18378159436528396,-9.50413824859746e-4,0.35150621556376355,-0.023034189954150873,0.3855780455146763,0.21585779191326304,0.2165089163769545,0.1938987178863875,0.1938987178863875,135,61637,456.57037037037037
